Producto,Identificador,Venta,Semana,Fecha
AGUILA 330,001,"1,379",1,01/07/2026
COSTEÑA 330,002,167,1,01/07/2026
POKER 330,003,60,1,01/07/2026
POKER LIGERA,004,636,1,01/07/2026
LIGHT 330,005,218,1,01/07/2026
AGUILA LIMON,006,0,1,01/07/2026
AZTECA 330,007,0,1,01/07/2026
POKER PARA MALTA,008,0,1,01/07/2026
AGUILA CERO,009,0,1,01/07/2026
COLA POLA,010,21,1,01/07/2026
CLUB C. 330,011,14,1,01/07/2026
CLUB DORADA,012,0,1,01/07/2026
CLUB NEGRA,013,0,1,01/07/2026
CLUB DOBLE MALTA,014,0,1,01/07/2026
REDDS 330,015,0,1,01/07/2026
AGUILA 750,016,0,1,01/07/2026
POKER 750,017,0,1,01/07/2026
LIGHT 750,018,0,1,01/07/2026
AGUILA 250X38,019,0,1,01/07/2026
POKER 250X38,020,0,1,01/07/2026
LIGTH 250X38,021,0,1,01/07/2026
CLUB 850X13,022,2,1,01/07/2026
AGUILA LITROX13,023,0,1,01/07/2026
POKER 1000X13,024,0,1,01/07/2026
AZTEKA 330X6,025,0,1,01/07/2026
AGUILA 330,026,0,1,01/07/2026
POKER 330,027,1,1,01/07/2026
LIGHT 330,028,0,1,01/07/2026
COLA LATA,029,2,1,01/07/2026
COLA POLA  1.5,030,5,1,01/07/2026
COLA Y POLA X400,031,0,1,01/07/2026
CLUB C. 330,032,0,1,01/07/2026
CLUB NEGRA 355 LTA,033,0,1,01/07/2026
CLUB AZULLTA,034,0,1,01/07/2026
REDDS 269X6,035,0,1,01/07/2026
AGUILITA 269X24,036,186,1,01/07/2026
CLUB LTA 269,037,0,1,01/07/2026
CLUB NG LTA 269,038,0,1,01/07/2026
LIGHT LTA 269,039,0,1,01/07/2026
BUDWEISER LATA,040,0,1,01/07/2026
BUW 250 BTLL,041,0,1,01/07/2026
BUDWEISER NR  315,042,0,1,01/07/2026
BUDWEISER LTA355,043,0,1,01/07/2026
BBC LA COTIDIANA,044,0,1,01/07/2026
CORONITA*6,045,184,1,01/07/2026
CORONA,046,0,1,01/07/2026
COSTEÑA BACANA LTA 269X24,047,0,1,01/07/2026
COSTEÑA BACANA 320X24,048,1,1,01/07/2026
COSTEÑA BACANA LTA330,049,0,1,01/07/2026
BECKS LTA,050,0,1,01/07/2026
PONY MINI X30,051,7,1,01/07/2026
MALTA 330,052,35,1,01/07/2026
MALTA LEONA 330,053,0,1,01/07/2026
PONY X 38,054,0,1,01/07/2026
MAL LEONA 400,055,0,1,01/07/2026
PONY PET,056,12,1,01/07/2026
PONY 1.5X 6,057,0,1,01/07/2026
PONY MINI * 24,058,0,1,01/07/2026
"MALTA LEONA 1,5",059,0,1,01/07/2026
P. LITRO X 15,060,5,1,01/07/2026
MALTA LEONA CAFÉ LATA,061,0,1,01/07/2026
AGUA ZALVA SIN GAS PET 6,062,0,1,01/07/2026
"AGUA ZALVA 1,5",063,0,1,01/07/2026
AGUILA 330,001,928,2,01/14/2026
COSTEÑA 330,002,81,2,01/14/2026
POKER 330,003,29,2,01/14/2026
POKER LIGERA,004,387,2,01/14/2026
LIGHT 330,005,137,2,01/14/2026
AGUILA LIMON,006,0,2,01/14/2026
AZTECA 330,007,0,2,01/14/2026
POKER PARA MALTA,008,0,2,01/14/2026
AGUILA CERO,009,0,2,01/14/2026
COLA POLA,010,25,2,01/14/2026
CLUB C. 330,011,10,2,01/14/2026
CLUB DORADA,012,0,2,01/14/2026
CLUB NEGRA,013,0,2,01/14/2026
CLUB DOBLE MALTA,014,0,2,01/14/2026
REDDS 330,015,0,2,01/14/2026
AGUILA 750,016,0,2,01/14/2026
POKER 750,017,0,2,01/14/2026
LIGHT 750,018,0,2,01/14/2026
AGUILA 250X38,019,0,2,01/14/2026
POKER 250X38,020,0,2,01/14/2026
LIGTH 250X38,021,0,2,01/14/2026
CLUB 850X13,022,0,2,01/14/2026
AGUILA LITROX13,023,0,2,01/14/2026
POKER 1000X13,024,1,2,01/14/2026
AZTEKA 330X6,025,0,2,01/14/2026
AGUILA 330,026,51,2,01/14/2026
POKER 330,027,0,2,01/14/2026
LIGHT 330,028,0,2,01/14/2026
COLA LATA,029,0,2,01/14/2026
COLA POLA  1.5,030,4,2,01/14/2026
COLA Y POLA X400,031,0,2,01/14/2026
CLUB C. 330,032,0,2,01/14/2026
CLUB NEGRA 355 LTA,033,0,2,01/14/2026
CLUB AZULLTA,034,0,2,01/14/2026
REDDS 269X6,035,0,2,01/14/2026
AGUILITA 269X24,036,490,2,01/14/2026
CLUB LTA 269,037,0,2,01/14/2026
CLUB NG LTA 269,038,0,2,01/14/2026
LIGHT LTA 269,039,0,2,01/14/2026
BUDWEISER LATA,040,0,2,01/14/2026
BUW 250 BTLL,041,0,2,01/14/2026
BUDWEISER NR  315,042,0,2,01/14/2026
BUDWEISER LTA355,043,0,2,01/14/2026
BBC LA COTIDIANA,044,0,2,01/14/2026
CORONITA*6,045,625,2,01/14/2026
CORONA,046,0,2,01/14/2026
COSTEÑA BACANA LTA 269X24,047,0,2,01/14/2026
COSTEÑA BACANA 320X24,048,45,2,01/14/2026
COSTEÑA BACANA LTA330,049,0,2,01/14/2026
BECKS LTA,050,8,2,01/14/2026
PONY MINI X30,051,5,2,01/14/2026
MALTA 330,052,32,2,01/14/2026
MALTA LEONA 330,053,0,2,01/14/2026
PONY X 38,054,0,2,01/14/2026
MAL LEONA 400,055,0,2,01/14/2026
PONY PET,056,0,2,01/14/2026
PONY 1.5X 6,057,6,2,01/14/2026
PONY MINI * 24,058,0,2,01/14/2026
"MALTA LEONA 1,5",059,0,2,01/14/2026
P. LITRO X 15,060,7,2,01/14/2026
MALTA LEONA CAFÉ LATA,061,0,2,01/14/2026
AGUA ZALVA SIN GAS PET 6,062,360,2,01/14/2026
"AGUA ZALVA 1,5",063,31,2,01/14/2026
AGUILA 330,001,"1,058",3,01/21/2026
COSTEÑA 330,002,126,3,01/21/2026
POKER 330,003,36,3,01/21/2026
POKER LIGERA,004,270,3,01/21/2026
LIGHT 330,005,216,3,01/21/2026
AGUILA LIMON,006,0,3,01/21/2026
AZTECA 330,007,0,3,01/21/2026
POKER PARA MALTA,008,0,3,01/21/2026
AGUILA CERO,009,0,3,01/21/2026
COLA POLA,010,40,3,01/21/2026
CLUB C. 330,011,18,3,01/21/2026
CLUB DORADA,012,0,3,01/21/2026
CLUB NEGRA,013,0,3,01/21/2026
CLUB DOBLE MALTA,014,0,3,01/21/2026
REDDS 330,015,0,3,01/21/2026
AGUILA 750,016,0,3,01/21/2026
POKER 750,017,0,3,01/21/2026
LIGHT 750,018,0,3,01/21/2026
AGUILA 250X38,019,0,3,01/21/2026
POKER 250X38,020,0,3,01/21/2026
LIGTH 250X38,021,0,3,01/21/2026
CLUB 850X13,022,3,3,01/21/2026
AGUILA LITROX13,023,0,3,01/21/2026
POKER 1000X13,024,2,3,01/21/2026
AZTEKA 330X6,025,0,3,01/21/2026
AGUILA 330,026,0,3,01/21/2026
POKER 330,027,0,3,01/21/2026
LIGHT 330,028,0,3,01/21/2026
COLA LATA,029,1,3,01/21/2026
COLA POLA  1.5,030,0,3,01/21/2026
COLA Y POLA X400,031,0,3,01/21/2026
CLUB C. 330,032,0,3,01/21/2026
CLUB NEGRA 355 LTA,033,0,3,01/21/2026
CLUB AZULLTA,034,0,3,01/21/2026
REDDS 269X6,035,0,3,01/21/2026
AGUILITA 269X24,036,381,3,01/21/2026
CLUB LTA 269,037,0,3,01/21/2026
CLUB NG LTA 269,038,0,3,01/21/2026
LIGHT LTA 269,039,0,3,01/21/2026
BUDWEISER LATA,040,0,3,01/21/2026
BUW 250 BTLL,041,0,3,01/21/2026
BUDWEISER NR  315,042,0,3,01/21/2026
BUDWEISER LTA355,043,0,3,01/21/2026
BBC LA COTIDIANA,044,0,3,01/21/2026
CORONITA*6,045,527,3,01/21/2026
CORONA,046,0,3,01/21/2026
COSTEÑA BACANA LTA 269X24,047,0,3,01/21/2026
COSTEÑA BACANA 320X24,048,1,3,01/21/2026
COSTEÑA BACANA LTA330,049,0,3,01/21/2026
CORONA LATA,050,0,3,01/21/2026
PONY MINI X30,051,4,3,01/21/2026
MALTA 330,052,32,3,01/21/2026
MALTA LEONA 330,053,0,3,01/21/2026
PONY X 38,054,0,3,01/21/2026
MAL LEONA 400,055,0,3,01/21/2026
PONY PET,056,0,3,01/21/2026
PONY 1.5X 6,057,6,3,01/21/2026
PONY MINI * 24,058,0,3,01/21/2026
"MALTA LEONA 1,5",059,0,3,01/21/2026
P. LITRO X 15,060,5,3,01/21/2026
MALTA LEONA CAFÉ LATA,061,0,3,01/21/2026
ELECTROLIT,062,135,3,01/21/2026
"AGUA ZALVA 1,5",063,3,3,01/21/2026
AGUILA 330,001,856,4,01/28/2026
COSTEÑA 330,002,74,4,01/28/2026
POKER 330,003,50,4,01/28/2026
POKER LIGERA,004,284,4,01/28/2026
LIGHT 330,005,120,4,01/28/2026
AGUILA LIMON,006,0,4,01/28/2026
AZTECA 330,007,0,4,01/28/2026
POKER PARA MALTA,008,0,4,01/28/2026
AGUILA CERO,009,0,4,01/28/2026
COLA POLA,010,22,4,01/28/2026
CLUB C. 330,011,5,4,01/28/2026
CLUB DORADA,012,0,4,01/28/2026
CLUB NEGRA,013,0,4,01/28/2026
CLUB DOBLE MALTA,014,0,4,01/28/2026
REDDS 330,015,0,4,01/28/2026
AGUILA 750,016,0,4,01/28/2026
POKER 750,017,0,4,01/28/2026
LIGHT 750,018,0,4,01/28/2026
AGUILA 250X38,019,0,4,01/28/2026
POKER 250X38,020,0,4,01/28/2026
LIGTH 250X38,021,0,4,01/28/2026
CLUB 850X13,022,0,4,01/28/2026
AGUILA LITROX13,023,0,4,01/28/2026
POKER 1000X13,024,7,4,01/28/2026
AZTEKA 330X6,025,0,4,01/28/2026
AGUILA 330,026,13,4,01/28/2026
POKER 330,027,0,4,01/28/2026
LIGHT 330,028,0,4,01/28/2026
COLA LATA,029,3,4,01/28/2026
COLA POLA  1.5,030,-2,4,01/28/2026
COLA Y POLA X400,031,0,4,01/28/2026
CLUB C. 330,032,3,4,01/28/2026
CLUB NEGRA 355 LTA,033,0,4,01/28/2026
CLUB AZULLTA,034,0,4,01/28/2026
REDDS 269X6,035,0,4,01/28/2026
AGUILITA 269X24,036,17,4,01/28/2026
CLUB LTA 269,037,0,4,01/28/2026
CLUB NG LTA 269,038,0,4,01/28/2026
LIGHT LTA 269,039,0,4,01/28/2026
BUDWEISER LATA,040,0,4,01/28/2026
BUW 250 BTLL,041,0,4,01/28/2026
BUDWEISER NR  315,042,0,4,01/28/2026
BUDWEISER LTA355,043,0,4,01/28/2026
BBC LA COTIDIANA,044,0,4,01/28/2026
CORONITA*6,045,122,4,01/28/2026
CORONA,046,0,4,01/28/2026
COSTEÑA BACANA LTA 269X24,047,0,4,01/28/2026
COSTEÑA BACANA 320X24,048,0,4,01/28/2026
COSTEÑA BACANA LTA330,049,0,4,01/28/2026
CORONA LATA,050,2,4,01/28/2026
PONY MINI X30,051,2,4,01/28/2026
MALTA 330,052,32,4,01/28/2026
MALTA LEONA 330,053,0,4,01/28/2026
PONY X 38,054,0,4,01/28/2026
MAL LEONA 400,055,0,4,01/28/2026
PONY PET,056,5,4,01/28/2026
PONY 1.5X 6,057,6,4,01/28/2026
PONY MINI * 24,058,0,4,01/28/2026
"MALTA LEONA 1,5",059,0,4,01/28/2026
P. LITRO X 15,060,0,4,01/28/2026
MALTA LEONA CAFÉ LATA,061,0,4,01/28/2026
ELECTROLIT,062,180,4,01/28/2026
"AGUA ZALVA 1,5",063,38,4,01/28/2026
AGUILA 330,001,734,5,02/04/2026
COSTEÑA 330,002,45,5,02/04/2026
POKER 330,003,28,5,02/04/2026
POKER LIGERA,004,307,5,02/04/2026
LIGHT 330,005,179,5,02/04/2026
AGUILA LIMON,006,0,5,02/04/2026
AZTECA 330,007,0,5,02/04/2026
POKER PARA MALTA,008,0,5,02/04/2026
AGUILA CERO,009,0,5,02/04/2026
COLA POLA,010,26,5,02/04/2026
CLUB C. 330,011,9,5,02/04/2026
CLUB DORADA,012,0,5,02/04/2026
CLUB NEGRA,013,0,5,02/04/2026
CLUB DOBLE MALTA,014,0,5,02/04/2026
REDDS 330,015,0,5,02/04/2026
AGUILA 750,016,0,5,02/04/2026
POKER 750,017,0,5,02/04/2026
LIGHT 750,018,0,5,02/04/2026
AGUILA 250X38,019,0,5,02/04/2026
POKER 250X38,020,0,5,02/04/2026
LIGTH 250X38,021,0,5,02/04/2026
CLUB 850X13,022,3,5,02/04/2026
AGUILA LITROX13,023,0,5,02/04/2026
POKER 1000X13,024,0,5,02/04/2026
AZTEKA 330X6,025,0,5,02/04/2026
AGUILA 330,026,12,5,02/04/2026
POKER 330,027,0,5,02/04/2026
LIGHT 330,028,0,5,02/04/2026
COLA LATA,029,0,5,02/04/2026
COLA POLA  1.5,030,0,5,02/04/2026
COLA Y POLA X400,031,0,5,02/04/2026
CLUB C. 330,032,0,5,02/04/2026
CLUB NEGRA 355 LTA,033,0,5,02/04/2026
CLUB AZULLTA,034,0,5,02/04/2026
REDDS 269X6,035,0,5,02/04/2026
AGUILITA 269X24,036,65,5,02/04/2026
CLUB LTA 269,037,0,5,02/04/2026
CLUB NG LTA 269,038,0,5,02/04/2026
LIGHT LTA 269,039,0,5,02/04/2026
BUDWEISER LATA,040,0,5,02/04/2026
BUW 250 BTLL,041,0,5,02/04/2026
BUDWEISER NR  315,042,0,5,02/04/2026
BUDWEISER LTA355,043,0,5,02/04/2026
BBC LA COTIDIANA,044,0,5,02/04/2026
CORONITA*6,045,230,5,02/04/2026
CORONA,046,0,5,02/04/2026
COSTEÑA BACANA LTA 269X24,047,10,5,02/04/2026
COSTEÑA BACANA 320X24,048,0,5,02/04/2026
COSTEÑA BACANA LTA330,049,0,5,02/04/2026
CORONA LATA,050,0,5,02/04/2026
PONY MINI X30,051,9,5,02/04/2026
MALTA 330,052,37,5,02/04/2026
MALTA LEONA 330,053,0,5,02/04/2026
PONY X 38,054,0,5,02/04/2026
MAL LEONA 400,055,0,5,02/04/2026
PONY PET,056,8,5,02/04/2026
PONY 1.5X 6,057,8,5,02/04/2026
PONY MINI * 24,058,0,5,02/04/2026
"MALTA LEONA 1,5",059,0,5,02/04/2026
P. LITRO X 15,060,4,5,02/04/2026
MALTA LEONA CAFÉ LATA,061,0,5,02/04/2026
ELECTROLIT,062,474,5,02/04/2026
