Producto,Identificador,Venta,Semana,Fecha
"AGUA ZALVA 1,5",063,71,5,02/04/2026
AGUILA 330,001,"1,259",6,02/11/2026
COSTEÑA 330,002,59,6,02/11/2026
POKER 330,003,56,6,02/11/2026
POKER LIGERA,004,367,6,02/11/2026
LIGHT 330,005,117,6,02/11/2026
AGUILA LIMON,006,0,6,02/11/2026
AZTECA 330,007,0,6,02/11/2026
POKER PARA MALTA,008,0,6,02/11/2026
AGUILA CERO,009,0,6,02/11/2026
COLA POLA,010,38,6,02/11/2026
CLUB C. 330,011,13,6,02/11/2026
CLUB DORADA,012,0,6,02/11/2026
CLUB NEGRA,013,0,6,02/11/2026
CLUB DOBLE MALTA,014,0,6,02/11/2026
REDDS 330,015,0,6,02/11/2026
AGUILA 750,016,0,6,02/11/2026
POKER 750,017,0,6,02/11/2026
LIGHT 750,018,0,6,02/11/2026
AGUILA 250X38,019,0,6,02/11/2026
POKER 250X38,020,0,6,02/11/2026
LIGTH 250X38,021,0,6,02/11/2026
CLUB 850X13,022,0,6,02/11/2026
AGUILA LITROX13,023,0,6,02/11/2026
POKER 1000X13,024,3,6,02/11/2026
AZTEKA 330X6,025,2,6,02/11/2026
AGUILA 330,026,20,6,02/11/2026
POKER 330,027,0,6,02/11/2026
LIGHT 330,028,0,6,02/11/2026
COLA LATA,029,1,6,02/11/2026
COLA POLA  1.5,030,0,6,02/11/2026
COLA Y POLA X400,031,0,6,02/11/2026
CLUB C. 330,032,6,6,02/11/2026
CLUB NEGRA 355 LTA,033,0,6,02/11/2026
CLUB AZULLTA,034,0,6,02/11/2026
REDDS 269X6,035,0,6,02/11/2026
AGUILITA 269X24,036,21,6,02/11/2026
CLUB LTA 269,037,0,6,02/11/2026
CLUB NG LTA 269,038,0,6,02/11/2026
LIGHT LTA 269,039,0,6,02/11/2026
BUDWEISER LATA,040,0,6,02/11/2026
BUW 250 BTLL,041,0,6,02/11/2026
BUDWEISER NR  315,042,0,6,02/11/2026
BUDWEISER LTA355,043,0,6,02/11/2026
BBC LA COTIDIANA,044,0,6,02/11/2026
CORONITA*6,045,112,6,02/11/2026
CORONA,046,0,6,02/11/2026
COSTEÑA BACANA LTA 269X24,047,8,6,02/11/2026
COSTEÑA BACANA 320X24,048,0,6,02/11/2026
COSTEÑA BACANA LTA330,049,0,6,02/11/2026
CORONA LATA,050,0,6,02/11/2026
PONY MINI X30,051,9,6,02/11/2026
MALTA 330,052,70,6,02/11/2026
MALTA LEONA 330,053,0,6,02/11/2026
PONY X 38,054,0,6,02/11/2026
MAL LEONA 400,055,0,6,02/11/2026
PONY PET,056,5,6,02/11/2026
PONY 1.5X 6,057,6,6,02/11/2026
PONY MINI * 24,058,0,6,02/11/2026
"MALTA LEONA 1,5",059,0,6,02/11/2026
P. LITRO X 15,060,3,6,02/11/2026
MALTA LEONA CAFÉ LATA,061,0,6,02/11/2026
ELECTROLIT,062,24,6,02/11/2026
"AGUA ZALVA 1,5",063,0,6,02/11/2026
AGUILA 330,001,921,7,02/18/2026
COSTEÑA 330,002,110,7,02/18/2026
POKER 330,003,52,7,02/18/2026
POKER LIGERA,004,227,7,02/18/2026
LIGHT 330,005,198,7,02/18/2026
AGUILA LIMON,006,0,7,02/18/2026
AZTECA 330,007,0,7,02/18/2026
POKER PARA MALTA,008,0,7,02/18/2026
AGUILA CERO,009,0,7,02/18/2026
COLA POLA,010,23,7,02/18/2026
CLUB C. 330,011,8,7,02/18/2026
CLUB DORADA,012,0,7,02/18/2026
CLUB NEGRA,013,0,7,02/18/2026
CLUB DOBLE MALTA,014,0,7,02/18/2026
REDDS 330,015,0,7,02/18/2026
AGUILA 750,016,0,7,02/18/2026
POKER 750,017,0,7,02/18/2026
LIGHT 750,018,0,7,02/18/2026
AGUILA 250X38,019,0,7,02/18/2026
POKER 250X38,020,0,7,02/18/2026
LIGTH 250X38,021,0,7,02/18/2026
CLUB 850X13,022,3,7,02/18/2026
AGUILA LITROX13,023,0,7,02/18/2026
POKER 1000X13,024,1,7,02/18/2026
AZTEKA 330X6,025,0,7,02/18/2026
AGUILA 330,026,9,7,02/18/2026
POKER 330,027,0,7,02/18/2026
LIGHT 330,028,4,7,02/18/2026
COLA LATA,029,0,7,02/18/2026
COLA POLA  1.5,030,3,7,02/18/2026
COLA Y POLA X400,031,0,7,02/18/2026
CLUB C. 330,032,1,7,02/18/2026
CLUB NEGRA 355 LTA,033,0,7,02/18/2026
CLUB AZULLTA,034,0,7,02/18/2026
REDDS 269X6,035,0,7,02/18/2026
AGUILITA 269X24,036,0,7,02/18/2026
CLUB LTA 269,037,0,7,02/18/2026
CLUB NG LTA 269,038,0,7,02/18/2026
LIGHT LTA 269,039,0,7,02/18/2026
BUDWEISER LATA,040,13,7,02/18/2026
BUW 250 BTLL,041,0,7,02/18/2026
BUDWEISER NR  315,042,0,7,02/18/2026
BUDWEISER LTA355,043,0,7,02/18/2026
BBC LA COTIDIANA,044,0,7,02/18/2026
CORONITA*6,045,95,7,02/18/2026
CORONA,046,0,7,02/18/2026
COSTEÑA BACANA LTA 269X24,047,6,7,02/18/2026
COSTEÑA BACANA 320X24,048,0,7,02/18/2026
COSTEÑA BACANA LTA330,049,0,7,02/18/2026
CORONA LATA,050,0,7,02/18/2026
PONY MINI X30,051,6,7,02/18/2026
MALTA 330,052,33,7,02/18/2026
MALTA LEONA 330,053,0,7,02/18/2026
PONY X 38,054,0,7,02/18/2026
MAL LEONA 400,055,0,7,02/18/2026
PONY PET,056,0,7,02/18/2026
PONY 1.5X 6,057,5,7,02/18/2026
PONY MINI * 24,058,0,7,02/18/2026
"MALTA LEONA 1,5",059,0,7,02/18/2026
P. LITRO X 15,060,0,7,02/18/2026
MALTA LEONA CAFÉ LATA,061,0,7,02/18/2026
ELECTROLIT,062,12,7,02/18/2026
"AGUA ZALVA 1,5",063,27,7,02/18/2026
AGUILA 330,001,"1,739",8,02/25/2026
COSTEÑA 330,002,44,8,02/25/2026
POKER 330,003,40,8,02/25/2026
POKER LIGERA,004,624,8,02/25/2026
LIGHT 330,005,266,8,02/25/2026
AGUILA LIMON,006,0,8,02/25/2026
AZTECA 330,007,0,8,02/25/2026
POKER PARA MALTA,008,0,8,02/25/2026
AGUILA CERO,009,0,8,02/25/2026
COLA POLA,010,48,8,02/25/2026
CLUB C. 330,011,16,8,02/25/2026
CLUB DORADA,012,0,8,02/25/2026
CLUB NEGRA,013,0,8,02/25/2026
CLUB DOBLE MALTA,014,0,8,02/25/2026
REDDS 330,015,0,8,02/25/2026
AGUILA 750,016,0,8,02/25/2026
POKER 750,017,0,8,02/25/2026
LIGHT 750,018,0,8,02/25/2026
AGUILA 250X38,019,0,8,02/25/2026
POKER 250X38,020,0,8,02/25/2026
LIGTH 250X38,021,0,8,02/25/2026
CLUB 850X13,022,1,8,02/25/2026
AGUILA LITROX13,023,0,8,02/25/2026
POKER 1000X13,024,1,8,02/25/2026
AZTEKA 330X6,025,0,8,02/25/2026
AGUILA 330,026,16,8,02/25/2026
POKER 330,027,0,8,02/25/2026
LIGHT 330,028,0,8,02/25/2026
COLA LATA,029,0,8,02/25/2026
COLA POLA  1.5,030,13,8,02/25/2026
COLA Y POLA X400,031,0,8,02/25/2026
CLUB C. 330,032,0,8,02/25/2026
CLUB NEGRA 355 LTA,033,0,8,02/25/2026
CLUB AZULLTA,034,0,8,02/25/2026
REDDS 269X6,035,0,8,02/25/2026
AGUILITA 269X24,036,0,8,02/25/2026
CLUB LTA 269,037,0,8,02/25/2026
CLUB NG LTA 269,038,0,8,02/25/2026
LIGHT LTA 269,039,0,8,02/25/2026
BUDWEISER LATA,040,0,8,02/25/2026
BUW 250 BTLL,041,0,8,02/25/2026
BUDWEISER NR  315,042,0,8,02/25/2026
BUDWEISER LTA355,043,0,8,02/25/2026
BBC LA COTIDIANA,044,0,8,02/25/2026
CORONITA*6,045,126,8,02/25/2026
CORONA,046,0,8,02/25/2026
COSTEÑA BACANA LTA 269X24,047,7,8,02/25/2026
COSTEÑA BACANA 320X24,048,0,8,02/25/2026
COSTEÑA BACANA LTA330,049,0,8,02/25/2026
CORONA LATA,050,0,8,02/25/2026
PONY MINI X30,051,15,8,02/25/2026
MALTA 330,052,146,8,02/25/2026
MALTA LEONA 330,053,0,8,02/25/2026
PONY X 38,054,0,8,02/25/2026
MAL LEONA 400,055,0,8,02/25/2026
PONY PET,056,0,8,02/25/2026
PONY 1.5X 6,057,11,8,02/25/2026
PONY MINI * 24,058,0,8,02/25/2026
"MALTA LEONA 1,5",059,0,8,02/25/2026
P. LITRO X 15,060,9,8,02/25/2026
MALTA LEONA CAFÉ LATA,061,0,8,02/25/2026
ELECTROLIT,062,12,8,02/25/2026
"AGUA ZALVA 1,5",063,13,8,02/25/2026
AGUILA 330,001,917,9,03/04/2026
COSTEÑA 330,002,53,9,03/04/2026
POKER 330,003,43,9,03/04/2026
POKER LIGERA,004,281,9,03/04/2026
LIGHT 330,005,168,9,03/04/2026
AGUILA LIMON,006,0,9,03/04/2026
AZTECA 330,007,0,9,03/04/2026
POKER PARA MALTA,008,0,9,03/04/2026
AGUILA CERO,009,0,9,03/04/2026
COLA POLA,010,39,9,03/04/2026
CLUB C. 330,011,18,9,03/04/2026
CLUB DORADA,012,0,9,03/04/2026
CLUB NEGRA,013,0,9,03/04/2026
CLUB DOBLE MALTA,014,0,9,03/04/2026
REDDS 330,015,0,9,03/04/2026
AGUILA 750,016,0,9,03/04/2026
POKER 750,017,0,9,03/04/2026
LIGHT 750,018,0,9,03/04/2026
AGUILA 250X38,019,0,9,03/04/2026
POKER 250X38,020,0,9,03/04/2026
LIGTH 250X38,021,0,9,03/04/2026
CLUB 850X13,022,0,9,03/04/2026
AGUILA LITROX13,023,0,9,03/04/2026
POKER 1000X13,024,1,9,03/04/2026
AZTEKA 330X6,025,0,9,03/04/2026
AGUILA 330,026,5,9,03/04/2026
POKER 330,027,0,9,03/04/2026
LIGHT 330,028,0,9,03/04/2026
COLA LATA,029,4,9,03/04/2026
COLA POLA  1.5,030,7,9,03/04/2026
COLA Y POLA X400,031,0,9,03/04/2026
CLUB C. 330,032,1,9,03/04/2026
CLUB NEGRA 355 LTA,033,0,9,03/04/2026
CLUB AZULLTA,034,0,9,03/04/2026
REDDS 269X6,035,0,9,03/04/2026
AGUILITA 269X24,036,0,9,03/04/2026
CLUB LTA 269,037,0,9,03/04/2026
CLUB NG LTA 269,038,0,9,03/04/2026
LIGHT LTA 269,039,0,9,03/04/2026
BUDWEISER LATA,040,0,9,03/04/2026
BUW 250 BTLL,041,0,9,03/04/2026
BUDWEISER NR  315,042,0,9,03/04/2026
BUDWEISER LTA355,043,0,9,03/04/2026
BBC LA COTIDIANA,044,0,9,03/04/2026
CORONITA*6,045,132,9,03/04/2026
CORONA,046,0,9,03/04/2026
COSTEÑA BACANA LTA 269X24,047,11,9,03/04/2026
COSTEÑA BACANA 320X24,048,0,9,03/04/2026
COSTEÑA BACANA LTA330,049,0,9,03/04/2026
CORONA LATA,050,0,9,03/04/2026
PONY MINI X30,051,5,9,03/04/2026
MALTA 330,052,34,9,03/04/2026
MALTA LEONA 330,053,0,9,03/04/2026
PONY X 38,054,0,9,03/04/2026
MAL LEONA 400,055,0,9,03/04/2026
PONY PET,056,6,9,03/04/2026
PONY 1.5X 6,057,6,9,03/04/2026
PONY MINI * 24,058,0,9,03/04/2026
"MALTA LEONA 1,5",059,0,9,03/04/2026
P. LITRO X 15,060,5,9,03/04/2026
MALTA LEONA CAFÉ LATA,061,0,9,03/04/2026
ELECTROLIT,062,0,9,03/04/2026
"AGUA ZALVA 1,5",063,2,9,03/04/2026
AGUILA 330,001,637,10,03/11/2026
COSTEÑA 330,002,57,10,03/11/2026
POKER 330,003,52,10,03/11/2026
POKER LIGERA,004,325,10,03/11/2026
LIGHT 330,005,117,10,03/11/2026
AGUILA LIMON,006,0,10,03/11/2026
AZTECA 330,007,0,10,03/11/2026
POKER PARA MALTA,008,0,10,03/11/2026
AGUILA CERO,009,0,10,03/11/2026
COLA POLA,010,46,10,03/11/2026
CLUB C. 330,011,4,10,03/11/2026
CLUB DORADA,012,0,10,03/11/2026
CLUB NEGRA,013,0,10,03/11/2026
CLUB DOBLE MALTA,014,0,10,03/11/2026
REDDS 330,015,0,10,03/11/2026
AGUILA 750,016,0,10,03/11/2026
POKER 750,017,0,10,03/11/2026
LIGHT 750,018,0,10,03/11/2026
AGUILA 250X38,019,0,10,03/11/2026
POKER 250X38,020,0,10,03/11/2026
LIGTH 250X38,021,0,10,03/11/2026
CLUB 850X13,022,2,10,03/11/2026
AGUILA LITROX13,023,0,10,03/11/2026
POKER 1000X13,024,1,10,03/11/2026
AZTEKA 330X6,025,1,10,03/11/2026
AGUILA 330,026,6,10,03/11/2026
POKER 330,027,0,10,03/11/2026
LIGHT 330,028,1,10,03/11/2026
COLA LATA,029,3,10,03/11/2026
COLA POLA  1.5,030,8,10,03/11/2026
COLA Y POLA X400,031,0,10,03/11/2026
CLUB C. 330,032,0,10,03/11/2026
CLUB NEGRA 355 LTA,033,0,10,03/11/2026
CLUB AZULLTA,034,0,10,03/11/2026
REDDS 269X6,035,0,10,03/11/2026
AGUILITA 269X24,036,0,10,03/11/2026
CLUB LTA 269,037,0,10,03/11/2026
CLUB NG LTA 269,038,0,10,03/11/2026
LIGHT LTA 269,039,0,10,03/11/2026
BUDWEISER LATA,040,0,10,03/11/2026
BUW 250 BTLL,041,0,10,03/11/2026
BUDWEISER NR  315,042,0,10,03/11/2026
BUDWEISER LTA355,043,0,10,03/11/2026
BBC LA COTIDIANA,044,0,10,03/11/2026
CORONITA*6,045,100,10,03/11/2026
CORONA,046,0,10,03/11/2026
COSTEÑA BACANA LTA 269X24,047,9,10,03/11/2026
COSTEÑA BACANA 320X24,048,0,10,03/11/2026
COSTEÑA BACANA LTA330,049,0,10,03/11/2026
CORONA LATA,050,1,10,03/11/2026
PONY MINI X30,051,13,10,03/11/2026
MALTA 330,052,41,10,03/11/2026
MALTA LEONA 330,053,0,10,03/11/2026
PONY X 38,054,0,10,03/11/2026
MAL LEONA 400,055,0,10,03/11/2026
PONY PET,056,19,10,03/11/2026
PONY 1.5X 6,057,10,10,03/11/2026
PONY MINI * 24,058,0,10,03/11/2026
"MALTA LEONA 1,5",059,0,10,03/11/2026
P. LITRO X 15,060,3,10,03/11/2026
MALTA LEONA CAFÉ LATA,061,0,10,03/11/2026
ELECTROLIT,062,0,10,03/11/2026
"AGUA ZALVA 1,5",063,4,10,03/11/2026